Designator,ManufacturerTU,PartNumber

"C1","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C2","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C3","АЖЯР.673546.001ТУ","К53-56А-16 В-4,7 мкФ±20 %"
"C4","АЖЯР.673546.001ТУ","К53-56А-16 В-4,7 мкФ±20 %"
"C5","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C6","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C7","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C8","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C9","АЖЯР.673546.001ТУ","К53-56А-16 В-4,7 мкФ±20 %"
"C10","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C11","АЖЯР.673546.001ТУ","К53-56А-16 В-4,7 мкФ±20 %"
"C12","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C13","АЖЯР.673546.001ТУ","К53-56А-16 В-4,7 мкФ±20 %"
"C14","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C15","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C16","АЖЯР.673546.001ТУ","К53-56А-16 В-4,7 мкФ±20 %"
"C17","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C18","АЖЯР.673546.001ТУ","К53-56А-16 В-4,7 мкФ±20 %"
"C19","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C20","АЖЯР.673546.001ТУ","К53-56А-16 В-4,7 мкФ±20 %"
"C21","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C22","АЖЯР.673546.001ТУ","К53-56А-16 В-4,7 мкФ±20 %"
"C23","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C24","ФЦТА.673516.016ТУ","К10-84в-2012М-100 В-МП0-16 пФ±10 %-N-A"
"C25","ФЦТА.673516.016ТУ","К10-84в-2012М-100 В-МП0-16 пФ±10 %-N-A"
"C26","АЖЯР.673546.001ТУ","К53-56А-25 В-2,2 мкФ±20 %"
"C27","АЖЯР.673546.001ТУ","К53-56А-25 В-2,2 мкФ±20 %"
"C28","АЖЯР.673546.006ТУ","К53-67-10 В-330 мкФ±10 %"
"C29","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C30","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C31","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C32","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C33","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C34","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C35","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C36","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C37","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C38","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C39","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C40","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C41","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C42","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C43","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C44","ФЦТА.673516.016ТУ","К10-84в-1608М-100 В-МП0-10 пФ±10 %-N-A"
"C45","ФЦТА.673516.016ТУ","К10-84в-1608М-100 В-МП0-10 пФ±10 %-N-A"
"C46","ФЦТА.673516.016ТУ","К10-84в-1608М-100 В-МП0-10 пФ±10 %-N-A"
"C47","ФЦТА.673516.016ТУ","К10-84в-1608М-100 В-МП0-10 пФ±10 %-N-A"
"C48","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C49","ФЦТА.673516.016ТУ","К10-84в-1608М-100 В-МП0-10 пФ±10 %-N-A"
"C50","ФЦТА.673516.016ТУ","К10-84в-1608М-100 В-МП0-10 пФ±10 %-N-A"
"C51","ФЦТА.673516.016ТУ","К10-84в-1608М-100 В-МП0-10 пФ±10 %-N-A"
"C52","ФЦТА.673516.016ТУ","К10-84в-1608М-100 В-МП0-10 пФ±10 %-N-A"
"C53","ФЦТА.673516.016ТУ","К10-84в-1608М-100 В-МП0-10 пФ±10 %-N-A"
"C54","ФЦТА.673516.016ТУ","К10-84в-1608М-100 В-МП0-10 пФ±10 %-N-A"
"C55","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C56","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C57","ФЦТА.673516.016ТУ","К10-84в-2012М-50 В-Н90-0,1 мкФ+80 %-20 %-N-A"
"C58","АЖЯР.673511.002ТУ","К10-69в-Н90-50 В-2012М-0,01 мкФ+80/-20 %-N"
"DA1","","LM75AD"
"DA2","","LM75AD"
