Change Component Designator: OldDesignator=XP11 NewDesignator=XP1
Change Component Designator: OldDesignator=XP12 NewDesignator=XP2
Change Component Designator: OldDesignator=XS1 NewDesignator=XS3
Change Component Designator: OldDesignator=XS2 NewDesignator=XS5
Change Component Designator: OldDesignator=XS3 NewDesignator=XS6
Change Component Designator: OldDesignator=XS5 NewDesignator=XS1
Change component parameters: Designator = "XP11" ("XP1"); Footprint = "PLD-40R"; UniqueID = "\OQAQHYTE" ("\OQAQHYTE")
Change component parameters (AddParameter): Name = "Alternative"; Value = "PLD-40R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternative2"; Value = "ÑÍÏ346-40ÂÏ32-2 ÐÞÌÊ.430420.019ÒÓ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternative3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CardKRR"; Value = "75"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "ÑÍÏ346"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn01Name"; Value = "+5V_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn02Name"; Value = "-5V_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn03Name"; Value = "GND_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn04Name"; Value = "GND_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn05Name"; Value = "-5V_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn06Name"; Value = "+5V_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn07Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn08Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn09Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn10Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn11Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn12Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn13Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn14Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn15Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn16Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn17Name"; Value = "SVBP1_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn18Name"; Value = "SVBP2_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn19Name"; Value = "RS485_A_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn20Name"; Value = "RS485_B_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn21Name"; Value = "UIM_IN1_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn22Name"; Value = "UIM_IN2_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn23Name"; Value = "UIM_OUT2_PCB-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn24Name"; Value = "UIM_OUT2_PCB"; VariantName = "[No Variations]"
