Change Component Footprint: Designator=XP3 Old Footprint=PLD-40R New Footprint=PLD-40
Change component parameters: Designator = "XP3" ("XP3"); Footprint = "PLD-40R"; UniqueID = "\DDLPYBLP" ("\DDLPYBLP")
Change component parameters (AddParameter): Name = "Alternative"; Value = "PLD-40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternative2"; Value = "ÑÍÏ346-40ÂÏ22-2 ÐÞÌÊ.430420.019ÒÓ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternative3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CardKRR"; Value = "75"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "ÑÍÏ346"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn01Name"; Value = "MOSI+"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn02Name"; Value = "MOSI-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn03Name"; Value = "MISO+"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn04Name"; Value = "MISO-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn05Name"; Value = "SCK+"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn06Name"; Value = "SCK-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn07Name"; Value = "SS+"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn08Name"; Value = "SS-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn09Name"; Value = "SET+"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn10Name"; Value = "SET-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn11Name"; Value = "U2_RX"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn12Name"; Value = "U2_TX"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn13Name"; Value = "TRANSMITER1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn14Name"; Value = "TRANSMITER2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn15Name"; Value = "TRANSMITER3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn16Name"; Value = "TRANSMITER4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn17Name"; Value = "VOLT1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn18Name"; Value = "VOLT2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn19Name"; Value = "VOLT3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn20Name"; Value = "VOLT4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn21Name"; Value = "VOLT5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn22Name"; Value = "GND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn23Name"; Value = "GND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn24Name"; Value = "GND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn25Name"; Value = "+5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn26Name"; Value = "-5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn27Name"; Value = "CLK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn28Name"; Value = "LE1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn29Name"; Value = "DS1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn30Name"; Value = "DS2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn31Name"; Value = "DS3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn32Name"; Value = "DS4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn33Name"; Value = "REFL1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn34Name"; Value = "REFL2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn35Name"; Value = "REFL3"; VariantName = "[No Variations]"
