Removed Pin From Net: NetName=UIM_OUT1_PCB+ Pin=XP11-8
Removed Pin From Net: NetName=UIM_OUT1_PCB- Pin=XP11-9
Removed Pin From Net: NetName=UIM_OUT1_PCB Pin=XP11-10
Removed Pin From Net: NetName=UIM_OUT2_PCB+ Pin=XP11-11
Removed Pin From Net: NetName=UIM_OUT2_PCB- Pin=XP11-12
Removed Pin From Net: NetName=UIM_OUT2_PCB Pin=XP11-13
Removed Pin From Net: NetName=UIM_IN1_PCB Pin=XP11-14
Removed Pin From Net: NetName=UIM_IN2_PCB Pin=XP11-15
Removed Pin From Net: NetName=RS485_A_PCB Pin=XP11-16
Removed Pin From Net: NetName=RS485_B_PCB Pin=XP11-17
Removed Pin From Net: NetName=SVBP1_PCB Pin=XP11-18
Removed Pin From Net: NetName=SVBP2_PCB Pin=XP11-19
Removed Pin From Net: NetName=ADDR0_PCB Pin=XP11-29
Removed Pin From Net: NetName=ADDR1_PCB Pin=XP11-30
Removed Pin From Net: NetName=ADDR2_PCB Pin=XP11-31
Removed Pin From Net: NetName=ADDR3_PCB Pin=XP11-32
Removed Pin From Net: NetName=ADDR4_PCB Pin=XP11-33
Removed Pin From Net: NetName=ADDR5_PCB Pin=XP11-34
Change component parameters: Designator = "XS2" ("XS2"); Footprint = "PBD-40"; UniqueID = "\SHAPWPCQ" ("\SHAPWPCQ")
Change component parameters (AddParameter): Name = "Alternative"; Value = "PBD-40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternative2"; Value = "ÑÍÏ346-40ÐÏ22-2 ÐÞÌÊ.430420.019ÒÓ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternative3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CardKRR"; Value = "75"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "ÑÍÏ346"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn01Name"; Value = "VOLT1_EN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn02Name"; Value = "VOLT1_UIM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn03Name"; Value = "VOLT2_UIM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn04Name"; Value = "VOLT1_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn05Name"; Value = "VOLT2_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn06Name"; Value = "VOLT2_EN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn07Name"; Value = "VOLT3_EN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn08Name"; Value = "VOLT3_UIM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn09Name"; Value = "VOLT4_UIM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn10Name"; Value = "VOLT3_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn11Name"; Value = "VOLT4_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn12Name"; Value = "VOLT4_EN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn13Name"; Value = "VOLT5_EN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn14Name"; Value = "VOLT5_UIM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn15Name"; Value = "VOLT6_UIM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn16Name"; Value = "VOLT5_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn17Name"; Value = "VOLT6_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn18Name"; Value = "VOLT6_EN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn19Name"; Value = "VOLT7_EN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn20Name"; Value = "VOLT7_UIM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn21Name"; Value = "VOLT8_UIM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn22Name"; Value = "VOLT7_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn23Name"; Value = "VOLT8_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn24Name"; Value = "VOLT8_EN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn25Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn26Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn27Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn28Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn29Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn30Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn31Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn32Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn33Name"; Value = "DS_MISO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn34Name"; Value = "DS_MOSI"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn35Name"; Value = "STCP_CS1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn36Name"; Value = "SHCP_CLK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn37Name"; Value = "OTG_FS_DP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn38Name"; Value = "STCP_CS2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn39Name"; Value = "OTG_FS_ID"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn40Name"; Value = "OTG_FS_DM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CurrentFact"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CurrentLimit"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DataSheet"; Value = "#\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf#"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DeliveryTime"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group"; Value = "Ñîåäèíèòåëè"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "key"; Value = "120"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ÀÎ «Êàðà÷åâñêèé çàâîä Ýëåêòðîäåòàëü»"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerTU"; Value = "ÐÞÌÊ.430420.011ÒÓ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mark"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mass"; Value = "0,0036"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MilitaryControl"; Value = "ÂÏ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Modify"; Value = "19.09.2018"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountChoice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountType"; Value = "ÐÌ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "ÑÍÏ346-40ÐÏ22-2-Â"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "PBD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "Ðîçåòêà ÑÍÏ346-40ÐÏ22-2-Â"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerFact"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerLimit"; Value = "250"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SolderName"; Value = "SNP346-40RP22-2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SolderTemperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tag"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TemperatureRange"; Value = "îò ìèíóñ 60 äî 85"; VariantName = "[No Variations]"
