Designator,ManufacturerTU,PartNumber

"XP1","РЮМК.430420.011ТУ","Вилка СНП346-40ВП32-2-В"
"XP2","РЮМК.430420.011ТУ","Вилка СНП346-40ВП32-2-В"
"XP3","РЮМК.430420.011ТУ","Вилка СНП346-40ВП22-2-В"
"XS1","РЮМК.430420.011ТУ","Розетка СНП346-34РП22-2-В"
"XS2","РЮМК.430420.011ТУ","Розетка СНП346-60РП22-2-В"
"XS3","РЮМК.430420.011ТУ","Розетка СНП346-4РП22-1-В"
"XS4","РЮМК.430420.011ТУ","Розетка СНП346-14РП22-2-В"
"XS5","РЮМК.430420.011ТУ","Розетка СНП346-20РП22-2-В"
"XS6","РЮМК.430420.011ТУ","Розетка СНП346-6РП22-2-В"
