Designator,ManufacturerTU,PartNumber

"C1","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-8060Ì-100 Â-Í90-4,7 לךÔ+80/-20 %-Î"
"C2","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-8060Ì-100 Â-Í90-4,7 לךÔ+80/-20 %-Î"
"C3","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-3216Ì-100 Â-Í90-0,22 לךÔ+80 %-20 %-Î"
"C4","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-8060Ì-100 Â-Í90-4,7 לךÔ+80/-20 %-Î"
"C5","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-8060Ì-100 Â-Í90-4,7 לךÔ+80/-20 %-Î"
"C6","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-3216Ì-100 Â-Í90-0,22 לךÔ+80 %-20 %-Î"
"C7","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-8060Ì-100 Â-Í90-4,7 לךÔ+80/-20 %-Î"
"C8","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-8060Ì-100 Â-Í90-4,7 לךÔ+80/-20 %-Î"
"C9","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-3216Ì-100 Â-Í90-0,22 לךÔ+80 %-20 %-Î"
"C10","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-8060Ì-100 Â-Í90-4,7 לךÔ+80/-20 %-Î"
"C11","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-8060Ì-100 Â-Í90-4,7 לךÔ+80/-20 %-Î"
"C12","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-3216Ì-100 Â-Í90-0,22 לךÔ+80 %-20 %-Î"
"C13","","CKG57NX7R1E107M500JH"
"C14","","CKG57NX7R1E107M500JH"
"C15","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-25 Â-Í90-0,22 לךÔ+80 %-20 %-N-A"
"C16","","CKG57NX7R1E107M500JH"
"C17","","CKG57NX7R1E107M500JH"
"C18","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-25 Â-Í90-0,22 לךÔ+80 %-20 %-N-A"
"C19","","CKG57NX7R1E107M500JH"
"C20","","CKG57NX7R1E107M500JH"
"C21","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-25 Â-Í90-0,22 לךÔ+80 %-20 %-N-A"
