Designator,ManufacturerTU,PartNumber

"C1","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C2","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C3","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C4","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C5","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C6","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C7","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C8","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C9","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C10","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C11","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C12","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"DD1","","74ÍÑ595PW"
"DD2","","74ÍÑ595PW"
"DD3","","74ÍÑ595PW"
"DD4","","74ÍÑ595PW"
"DD5","","74ÍÑ595PW"
"DD6","","74ÍÑ595PW"
"DD7","","74ÍÑ595PW"
"DD8","","74ÍÑ595PW"
"DD9","","74ÍÑ595PW"
"DD10","","74ÍÑ595PW"
"HL1","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL2","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL3","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL4","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL5","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL6","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL7","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL8","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL9","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL10","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL11","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL12","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL13","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL14","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL15","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL16","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL17","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL18","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL19","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL20","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL21","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL22","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL23","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL24","","Ñגועמהטמה BL-L515RGBW-CÑ"
"HL25","","Ñגועמהטמה BL-L515RGBW-CÑ"
"R1","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-10 ךÎל±5 %-Ò-À"
"R2","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-10 ךÎל±5 %-Ò-À"
"R3","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-10 ךÎל±5 %-Ò-À"
"R4","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R5","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R6","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R7","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R8","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R9","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R10","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R11","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R12","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R13","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R14","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R15","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R16","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R17","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R18","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R19","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R20","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R21","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R22","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R23","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R24","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R25","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R26","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R27","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R28","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R29","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R30","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R31","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R32","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R33","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R34","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R35","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R36","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R37","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R38","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
"R39","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ךÎל±5 %-Ò-À"
